@target G0.S0
@type xydy
-0.1 -406.68016 1.85335
0.0 -414.92459 1.99930
0.1 -405.04018 1.84957
0.2 -397.49370 2.10455
0.3 -385.89016 2.44430
0.4 -404.55607 2.13203
0.5 -404.38622 2.11069
0.6 -391.28322 2.18189
0.7 -387.48381 2.00073
0.8 -384.07039 1.96139
0.9 -381.76778 2.00699
1.0 -363.70879 2.01506
1.1 -365.96984 2.04823
1.2 -359.79022 2.43388
1.3 -337.13120 2.18278
1.4 -316.97042 2.29614
1.5 -336.70074 2.26090
1.6 -338.87436 2.06468
1.7 -356.12649 2.11503
1.8 -320.59756 2.30538
1.9 -344.99507 2.19030
2.0 -351.08284 2.18302
&
@target G5.S2
@type xydy
-2.0 -374.14372 2.37521
-1.9 -393.92437 2.19916
-1.8 -404.67816 2.17391
-1.7 -404.24471 2.21420
-1.6 -388.60597 2.34598
-1.5 -378.21602 2.10036
-1.4 -401.53403 2.08030
-1.3 -394.93444 2.24335
-1.2 -402.89541 2.37728
-1.1 -408.22528 2.39819
-1.0 -414.24735 2.22139
-0.9 -420.11502 2.40329
-0.8 -410.85661 2.18431
-0.7 -409.23759 2.09186
-0.6 -395.02268 2.05438
-0.5 -397.54904 2.25069
-0.4 -411.95964 2.07967
-0.3 -413.46050 2.23955
-0.2 -412.59379 2.06306
-0.1 -410.80186 1.83281
0.0 -423.92392 2.03321
0.1 -419.65030 1.91754
0.2 -400.76759 2.03383
0.3 -410.37658 2.01223
0.4 -396.11783 2.45929
0.5 -394.28004 2.21951
0.6 -393.57074 2.14643
0.7 -402.51587 2.19272
0.8 -396.00245 2.09757
0.9 -385.72899 2.39880
1.0 -377.18647 2.31621
1.1 -389.52872 2.12066
1.2 -377.26744 2.16470
1.3 -373.34772 2.12334
1.4 -381.44618 1.85131
1.5 -380.88651 2.34925
1.6 -369.54014 2.45356
1.7 -383.00827 2.38630
1.8 -407.02926 2.12669
1.9 -396.10422 2.47563
2.0 -391.96789 2.27507
&
